Comunidad autónoma;Divisiones COICOP;Año;Total
Castilla - La Mancha;06. Salud;2022 (P);1.293.950
Castilla - La Mancha;07. Transporte;2016;3.422.216
Castilla - La Mancha;07. Transporte;2017;3.787.494
Castilla - La Mancha;07. Transporte;2018;3.975.933
Castilla - La Mancha;07. Transporte;2019;3.839.428
Castilla - La Mancha;07. Transporte;2020;2.849.239
Castilla - La Mancha;07. Transporte;2021;3.301.414
Castilla - La Mancha;07. Transporte;2022 (P);3.782.277
Castilla - La Mancha;08. Información y comunicación;2016;784.528
Castilla - La Mancha;08. Información y comunicación;2017;815.540
Castilla - La Mancha;08. Información y comunicación;2018;840.179
Castilla - La Mancha;08. Información y comunicación;2019;824.120
Castilla - La Mancha;08. Información y comunicación;2020;825.396
Castilla - La Mancha;08. Información y comunicación;2021;855.895
Castilla - La Mancha;08. Información y comunicación;2022 (P);889.460
Castilla - La Mancha;09. Ocio, deporte y cultura;2016;1.334.448
Castilla - La Mancha;09. Ocio, deporte y cultura;2017;1.389.453
Castilla - La Mancha;09. Ocio, deporte y cultura;2018;1.492.145
Castilla - La Mancha;09. Ocio, deporte y cultura;2019;1.559.504
Castilla - La Mancha;09. Ocio, deporte y cultura;2020;1.000.520
Castilla - La Mancha;09. Ocio, deporte y cultura;2021;1.241.189
Castilla - La Mancha;09. Ocio, deporte y cultura;2022 (P);1.659.426
Castilla - La Mancha;10. Servicios para la educación;2016;301.164
Castilla - La Mancha;10. Servicios para la educación;2017;303.378
Castilla - La Mancha;10. Servicios para la educación;2018;303.881
Castilla - La Mancha;10. Servicios para la educación;2019;306.297
Castilla - La Mancha;10. Servicios para la educación;2020;291.976
Castilla - La Mancha;10. Servicios para la educación;2021;263.003
Castilla - La Mancha;10. Servicios para la educación;2022 (P);269.038
Castilla - La Mancha;11. Restaurantes y servicios de alojamiento;2016;2.911.253
Castilla - La Mancha;11. Restaurantes y servicios de alojamiento;2017;3.107.287
Castilla - La Mancha;11. Restaurantes y servicios de alojamiento;2018;3.108.425
Castilla - La Mancha;11. Restaurantes y servicios de alojamiento;2019;3.295.756
Castilla - La Mancha;11. Restaurantes y servicios de alojamiento;2020;2.006.128
Castilla - La Mancha;11. Restaurantes y servicios de alojamiento;2021;2.389.863
Castilla - La Mancha;11. Restaurantes y servicios de alojamiento;2022 (P);3.247.516
Castilla - La Mancha;12. Seguros y servicios financieros;2016;872.291
Castilla - La Mancha;12. Seguros y servicios financieros;2017;843.622
Castilla - La Mancha;12. Seguros y servicios financieros;2018;897.913
Castilla - La Mancha;12. Seguros y servicios financieros;2019;915.871
Castilla - La Mancha;12. Seguros y servicios financieros;2020;940.812
Castilla - La Mancha;12. Seguros y servicios financieros;2021;921.226
Castilla - La Mancha;12. Seguros y servicios financieros;2022 (P);1.142.802
Castilla - La Mancha;13. Cuidados personales, protección social y bienes y servicios varios;2016;1.210.773
Castilla - La Mancha;13. Cuidados personales, protección social y bienes y servicios varios;2017;1.265.573
Castilla - La Mancha;13. Cuidados personales, protección social y bienes y servicios varios;2018;1.293.950
Castilla - La Mancha;13. Cuidados personales, protección social y bienes y servicios varios;2019;1.310.358
Castilla - La Mancha;13. Cuidados personales, protección social y bienes y servicios varios;2020;1.078.674
Castilla - La Mancha;13. Cuidados personales, protección social y bienes y servicios varios;2021;1.157.896
Castilla - La Mancha;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);1.350.764
Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2016;23.765.261
Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2017;24.598.358
Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2018;25.181.101
Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2019;25.521.689
Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2020;22.334.611
Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2021;24.104.860
Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2022 (P);27.139.599
Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2016;23.214.199
Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2017;23.838.571
Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2018;24.501.915
Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2019;24.936.494
Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2020;21.485.080
Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2021;23.675.837
Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2022 (P);26.603.722
Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2016;29.244.009
Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2017;30.011.697
Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2018;30.908.942
Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2019;31.718.723
Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2020;28.635.860
Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2021;31.267.003
Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2022 (P);34.535.125
Cataluña;01. Alimentos y bebidas no alcohólicas;2016;14.899.044
Cataluña;01. Alimentos y bebidas no alcohólicas;2017;15.129.626
Cataluña;01. Alimentos y bebidas no alcohólicas;2018;15.809.105
Cataluña;01. Alimentos y bebidas no alcohólicas;2019;16.084.847
Cataluña;01. Alimentos y bebidas no alcohólicas;2020;17.162.936
Cataluña;01. Alimentos y bebidas no alcohólicas;2021;16.790.301
Cataluña;01. Alimentos y bebidas no alcohólicas;2022 (P);17.602.750
Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2016;4.811.376
Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2017;4.852.344
Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2018;4.867.382
Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2019;4.936.926
Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2020;5.011.225
Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2021;5.026.245
Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);5.328.466
Cataluña;03. Artículos de vestir y calzado;2016;5.132.206
Cataluña;03. Artículos de vestir y calzado;2017;5.200.010
Cataluña;03. Artículos de vestir y calzado;2018;4.973.787
Cataluña;03. Artículos de vestir y calzado;2019;4.906.720
Cataluña;03. Artículos de vestir y calzado;2020;3.243.102
Cataluña;03. Artículos de vestir y calzado;2021;3.890.484
Cataluña;03. Artículos de vestir y calzado;2022 (P);4.505.682
Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;28.768.842
Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;29.772.231
Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;30.793.218
Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;31.628.527
Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;31.275.976
Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;32.744.864
Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);34.439.426
Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;5.158.235
Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;5.335.987
Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;5.361.324
Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;5.233.036
Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;4.539.481
Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;5.154.463
Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);5.340.432
Cataluña;06. Salud;2016;4.332.313
Cataluña;06. Salud;2017;4.847.453
Cataluña;06. Salud;2018;5.145.970
Cataluña;06. Salud;2019;5.309.933
Cataluña;06. Salud;2020;5.025.257
Cataluña;06. Salud;2021;5.165.524
Cataluña;06. Salud;2022 (P);5.481.811
Cataluña;07. Transporte;2016;13.661.990
Cataluña;07. Transporte;2017;15.057.746
Cataluña;07. Transporte;2018;15.529.107
Cataluña;07. Transporte;2019;15.081.725
Cataluña;07. Transporte;2020;10.595.731
Cataluña;07. Transporte;2021;12.627.770
Cataluña;07. Transporte;2022 (P);14.511.749
Cataluña;08. Información y comunicación;2016;3.770.882
Cataluña;08. Información y comunicación;2017;3.929.960
Cataluña;08. Información y comunicación;2018;4.070.570
Cataluña;08. Información y comunicación;2019;4.033.491
Cataluña;08. Información y comunicación;2020;3.941.537
Cataluña;08. Información y comunicación;2021;4.164.894
Cataluña;08. Información y comunicación;2022 (P);4.442.156
Cataluña;09. Ocio, deporte y cultura;2016;8.678.467
Cataluña;09. Ocio, deporte y cultura;2017;9.234.897
Cataluña;09. Ocio, deporte y cultura;2018;9.212.953
Cataluña;09. Ocio, deporte y cultura;2019;9.400.456
Cataluña;09. Ocio, deporte y cultura;2020;5.361.602
Cataluña;09. Ocio, deporte y cultura;2021;7.029.692
Cataluña;09. Ocio, deporte y cultura;2022 (P);10.136.367
Cataluña;10. Servicios para la educación;2016;2.048.316
Cataluña;10. Servicios para la educación;2017;2.107.945
Cataluña;10. Servicios para la educación;2018;2.157.790
Cataluña;10. Servicios para la educación;2019;2.198.422
Cataluña;10. Servicios para la educación;2020;2.143.015
Cataluña;10. Servicios para la educación;2021;1.901.737
Cataluña;10. Servicios para la educación;2022 (P);1.915.541
Cataluña;11. Restaurantes y servicios de alojamiento;2016;16.013.954
Cataluña;11. Restaurantes y servicios de alojamiento;2017;17.701.443
Cataluña;11. Restaurantes y servicios de alojamiento;2018;17.949.834
Cataluña;11. Restaurantes y servicios de alojamiento;2019;18.422.295
Cataluña;11. Restaurantes y servicios de alojamiento;2020;9.468.472
Cataluña;11. Restaurantes y servicios de alojamiento;2021;12.903.589
Cataluña;11. Restaurantes y servicios de alojamiento;2022 (P);18.299.607
Cataluña;12. Seguros y servicios financieros;2016;5.670.779
Cataluña;12. Seguros y servicios financieros;2017;5.952.554
Cataluña;12. Seguros y servicios financieros;2018;6.566.101
Cataluña;12. Seguros y servicios financieros;2019;6.863.425
Cataluña;12. Seguros y servicios financieros;2020;7.406.887
Cataluña;12. Seguros y servicios financieros;2021;7.138.967
Cataluña;12. Seguros y servicios financieros;2022 (P);8.610.802
Cataluña;13. Cuidados personales, protección social y bienes y servicios varios;2016;6.490.161
Cataluña;13. Cuidados personales, protección social y bienes y servicios varios;2017;6.783.643
Cataluña;13. Cuidados personales, protección social y bienes y servicios varios;2018;6.901.526
Cataluña;13. Cuidados personales, protección social y bienes y servicios varios;2019;6.956.923
Cataluña;13. Cuidados personales, protección social y bienes y servicios varios;2020;5.918.527
Cataluña;13. Cuidados personales, protección social y bienes y servicios varios;2021;6.450.109
Cataluña;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);7.263.625
Cataluña;Total gasto en consumo final de los hogares interior;2016;119.436.565
Cataluña;Total gasto en consumo final de los hogares interior;2017;125.905.839
Cataluña;Total gasto en consumo final de los hogares interior;2018;129.338.667
Cataluña;Total gasto en consumo final de los hogares interior;2019;131.056.726
Cataluña;Total gasto en consumo final de los hogares interior;2020;111.093.748
Cataluña;Total gasto en consumo final de los hogares interior;2021;120.988.639
Cataluña;Total gasto en consumo final de los hogares interior;2022 (P);137.878.414
Cataluña;P.3. Gasto en consumo final de los hogares;2016;115.617.115
Cataluña;P.3. Gasto en consumo final de los hogares;2017;121.723.085
Cataluña;P.3. Gasto en consumo final de los hogares;2018;125.450.657
Cataluña;P.3. Gasto en consumo final de los hogares;2019;127.181.816
Cataluña;P.3. Gasto en consumo final de los hogares;2020;111.486.647
Cataluña;P.3. Gasto en consumo final de los hogares;2021;120.947.710
Cataluña;P.3. Gasto en consumo final de los hogares;2022 (P);134.214.958
Cataluña;P.4. Consumo final efectivo de los hogares;2016;136.655.740
Cataluña;P.4. Consumo final efectivo de los hogares;2017;143.397.175
Cataluña;P.4. Consumo final efectivo de los hogares;2018;147.996.308
Cataluña;P.4. Consumo final efectivo de los hogares;2019;151.132.551
Cataluña;P.4. Consumo final efectivo de los hogares;2020;137.820.522
Cataluña;P.4. Consumo final efectivo de los hogares;2021;148.879.998
Cataluña;P.4. Consumo final efectivo de los hogares;2022 (P);163.241.648
Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2016;9.092.802
Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2017;9.247.608
Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2018;9.663.772
Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2019;9.900.362
Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2020;10.222.918
Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2021;10.396.738
Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2022 (P);11.353.272
Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2016;3.177.059
Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2017;3.218.105
Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2018;3.236.090
Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2019;3.299.726
Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2020;3.350.874
Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2021;3.365.974
Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);3.647.067
Comunitat Valenciana;03. Artículos de vestir y calzado;2016;3.067.701
Comunitat Valenciana;03. Artículos de vestir y calzado;2017;3.123.080
Comunitat Valenciana;03. Artículos de vestir y calzado;2018;3.075.330
Comunitat Valenciana;03. Artículos de vestir y calzado;2019;3.160.659
Comunitat Valenciana;03. Artículos de vestir y calzado;2020;2.117.518
Comunitat Valenciana;03. Artículos de vestir y calzado;2021;2.672.239
Comunitat Valenciana;03. Artículos de vestir y calzado;2022 (P);3.143.796
Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;15.997.908
Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;16.353.262
Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;16.703.416
Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;17.066.197
Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;16.752.442
Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;17.716.930
Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);18.797.984
Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;3.322.247
Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;3.561.256
Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;3.698.038
Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;3.689.064
Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;3.044.875
Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;3.707.450
Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);4.132.025
Comunitat Valenciana;06. Salud;2016;3.092.133
Comunitat Valenciana;06. Salud;2017;3.341.032
Comunitat Valenciana;06. Salud;2018;3.568.124
Comunitat Valenciana;06. Salud;2019;3.770.700
Comunitat Valenciana;06. Salud;2020;3.546.161
Comunitat Valenciana;06. Salud;2021;3.623.552
Comunitat Valenciana;06. Salud;2022 (P);3.707.260
Comunitat Valenciana;07. Transporte;2016;8.406.716
Comunitat Valenciana;07. Transporte;2017;9.346.510
Comunitat Valenciana;07. Transporte;2018;9.827.737
Comunitat Valenciana;07. Transporte;2019;9.879.591
Comunitat Valenciana;07. Transporte;2020;6.958.893
Comunitat Valenciana;07. Transporte;2021;8.700.643
Comunitat Valenciana;07. Transporte;2022 (P);10.451.061
Comunitat Valenciana;08. Información y comunicación;2016;2.155.473
Comunitat Valenciana;08. Información y comunicación;2017;2.235.588
Comunitat Valenciana;08. Información y comunicación;2018;2.317.176
Comunitat Valenciana;08. Información y comunicación;2019;2.306.298
Comunitat Valenciana;08. Información y comunicación;2020;2.254.878
Comunitat Valenciana;08. Información y comunicación;2021;2.410.168
Comunitat Valenciana;08. Información y comunicación;2022 (P);2.585.382
Comunitat Valenciana;09. Ocio, deporte y cultura;2016;4.819.806
Comunitat Valenciana;09. Ocio, deporte y cultura;2017;5.182.776
Comunitat Valenciana;09. Ocio, deporte y cultura;2018;5.483.431
Comunitat Valenciana;09. Ocio, deporte y cultura;2019;5.768.781
Comunitat Valenciana;09. Ocio, deporte y cultura;2020;3.422.987
Comunitat Valenciana;09. Ocio, deporte y cultura;2021;4.486.577
Comunitat Valenciana;09. Ocio, deporte y cultura;2022 (P);6.308.898
Comunitat Valenciana;10. Servicios para la educación;2016;1.113.386
Comunitat Valenciana;10. Servicios para la educación;2017;1.125.752
Comunitat Valenciana;10. Servicios para la educación;2018;1.135.187
Comunitat Valenciana;10. Servicios para la educación;2019;1.149.276
Comunitat Valenciana;10. Servicios para la educación;2020;1.115.495
Comunitat Valenciana;10. Servicios para la educación;2021;1.005.094
Comunitat Valenciana;10. Servicios para la educación;2022 (P);1.027.223
Comunitat Valenciana;11. Restaurantes y servicios de alojamiento;2016;11.145.522
Comunitat Valenciana;11. Restaurantes y servicios de alojamiento;2017;12.219.094
Comunitat Valenciana;11. Restaurantes y servicios de alojamiento;2018;12.571.273
Comunitat Valenciana;11. Restaurantes y servicios de alojamiento;2019;13.427.700
Comunitat Valenciana;11. Restaurantes y servicios de alojamiento;2020;7.066.571
Comunitat Valenciana;11. Restaurantes y servicios de alojamiento;2021;10.716.167
Comunitat Valenciana;11. Restaurantes y servicios de alojamiento;2022 (P);14.343.975
Comunitat Valenciana;12. Seguros y servicios financieros;2016;2.471.976
Comunitat Valenciana;12. Seguros y servicios financieros;2017;2.495.441
Comunitat Valenciana;12. Seguros y servicios financieros;2018;2.741.295
Comunitat Valenciana;12. Seguros y servicios financieros;2019;2.843.928
Comunitat Valenciana;12. Seguros y servicios financieros;2020;3.046.483
Comunitat Valenciana;12. Seguros y servicios financieros;2021;2.930.890
Comunitat Valenciana;12. Seguros y servicios financieros;2022 (P);3.575.829
Comunitat Valenciana;13. Cuidados personales, protección social y bienes y servicios varios;2016;3.745.216
Comunitat Valenciana;13. Cuidados personales, protección social y bienes y servicios varios;2017;3.960.512
Comunitat Valenciana;13. Cuidados personales, protección social y bienes y servicios varios;2018;4.137.094
Comunitat Valenciana;13. Cuidados personales, protección social y bienes y servicios varios;2019;4.254.502
Comunitat Valenciana;13. Cuidados personales, protección social y bienes y servicios varios;2020;3.591.472
Comunitat Valenciana;13. Cuidados personales, protección social y bienes y servicios varios;2021;4.115.527
Comunitat Valenciana;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);4.826.719
Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2016;71.607.945
Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2017;75.410.016
Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2018;78.157.963
Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2019;80.516.784
Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2020;66.491.567
Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2021;75.847.949
Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2022 (P);87.900.491
Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2016;63.069.706
Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2017;65.807.948
Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2018;68.138.484
Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2019;70.009.922
Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2020;62.922.122
Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2021;69.136.103
Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2022 (P);76.587.773
Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2016;76.868.217
Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2017;79.902.661
Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2018;82.959.331
Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2019;85.517.741
Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2020;79.241.351
Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2021;86.547.365
Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2022 (P);94.928.474
Extremadura;01. Alimentos y bebidas no alcohólicas;2016;1.681.469
Extremadura;01. Alimentos y bebidas no alcohólicas;2017;1.674.957
Extremadura;01. Alimentos y bebidas no alcohólicas;2018;1.715.383
Extremadura;01. Alimentos y bebidas no alcohólicas;2019;1.732.758
Extremadura;01. Alimentos y bebidas no alcohólicas;2020;1.908.158
Extremadura;01. Alimentos y bebidas no alcohólicas;2021;1.902.344
Extremadura;01. Alimentos y bebidas no alcohólicas;2022 (P);2.008.063
Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2016;613.813
Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2017;631.378
Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2018;620.667
Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2019;590.018
Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2020;629.520
Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2021;644.990
Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);654.316
Extremadura;03. Artículos de vestir y calzado;2016;599.090
Extremadura;03. Artículos de vestir y calzado;2017;589.074
Extremadura;03. Artículos de vestir y calzado;2018;553.403
Extremadura;03. Artículos de vestir y calzado;2019;536.001
Extremadura;03. Artículos de vestir y calzado;2020;392.024
Extremadura;03. Artículos de vestir y calzado;2021;449.755
Extremadura;03. Artículos de vestir y calzado;2022 (P);499.777
Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;2.462.436
Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;2.504.872
Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;2.526.835
Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;2.563.430
Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;2.488.848
Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;2.673.358
Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);2.764.962
Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;526.071
Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;539.180
Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;539.980
Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;538.438
Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;498.168
Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;580.565
Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);590.906
Extremadura;06. Salud;2016;629.699
Extremadura;06. Salud;2017;655.486
Extremadura;06. Salud;2018;674.517
Extremadura;06. Salud;2019;699.748
Extremadura;06. Salud;2020;660.689
Extremadura;06. Salud;2021;648.653
Extremadura;06. Salud;2022 (P);683.372
Extremadura;07. Transporte;2016;1.587.654
Extremadura;07. Transporte;2017;1.744.966
Extremadura;07. Transporte;2018;1.815.072
Extremadura;07. Transporte;2019;1.812.014
Extremadura;07. Transporte;2020;1.362.814
Extremadura;07. Transporte;2021;1.634.334
Extremadura;07. Transporte;2022 (P);1.813.925
Extremadura;08. Información y comunicación;2016;401.038
Extremadura;08. Información y comunicación;2017;413.011
Extremadura;08. Información y comunicación;2018;427.898
Extremadura;08. Información y comunicación;2019;420.024
Extremadura;08. Información y comunicación;2020;419.235
Extremadura;08. Información y comunicación;2021;438.314
Extremadura;08. Información y comunicación;2022 (P);459.800
Extremadura;09. Ocio, deporte y cultura;2016;586.485
Extremadura;09. Ocio, deporte y cultura;2017;643.779
Extremadura;09. Ocio, deporte y cultura;2018;693.760
Extremadura;09. Ocio, deporte y cultura;2019;744.028
Extremadura;09. Ocio, deporte y cultura;2020;489.590
Extremadura;09. Ocio, deporte y cultura;2021;625.663
Extremadura;09. Ocio, deporte y cultura;2022 (P);852.955
Extremadura;10. Servicios para la educación;2016;171.954
Extremadura;10. Servicios para la educación;2017;173.333
Extremadura;10. Servicios para la educación;2018;172.167
Extremadura;10. Servicios para la educación;2019;171.501
Extremadura;10. Servicios para la educación;2020;161.720
Extremadura;10. Servicios para la educación;2021;144.342
Extremadura;10. Servicios para la educación;2022 (P);149.033
Extremadura;11. Restaurantes y servicios de alojamiento;2016;1.498.063
Extremadura;11. Restaurantes y servicios de alojamiento;2017;1.587.967
Extremadura;11. Restaurantes y servicios de alojamiento;2018;1.563.355
Extremadura;11. Restaurantes y servicios de alojamiento;2019;1.578.010
Extremadura;11. Restaurantes y servicios de alojamiento;2020;950.079
Extremadura;11. Restaurantes y servicios de alojamiento;2021;1.428.322
Extremadura;11. Restaurantes y servicios de alojamiento;2022 (P);2.072.205
Extremadura;12. Seguros y servicios financieros;2016;387.844
Extremadura;12. Seguros y servicios financieros;2017;378.012
Extremadura;12. Seguros y servicios financieros;2018;397.755
Extremadura;12. Seguros y servicios financieros;2019;388.821
Extremadura;12. Seguros y servicios financieros;2020;402.294
Extremadura;12. Seguros y servicios financieros;2021;391.414
Extremadura;12. Seguros y servicios financieros;2022 (P);494.948
Extremadura;13. Cuidados personales, protección social y bienes y servicios varios;2016;570.187
Extremadura;13. Cuidados personales, protección social y bienes y servicios varios;2017;590.802
Extremadura;13. Cuidados personales, protección social y bienes y servicios varios;2018;603.164
Extremadura;13. Cuidados personales, protección social y bienes y servicios varios;2019;647.521
Extremadura;13. Cuidados personales, protección social y bienes y servicios varios;2020;576.886
Extremadura;13. Cuidados personales, protección social y bienes y servicios varios;2021;641.797
Extremadura;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);726.961
Extremadura;Total gasto en consumo final de los hogares interior;2016;11.715.803
Extremadura;Total gasto en consumo final de los hogares interior;2017;12.126.817
Extremadura;Total gasto en consumo final de los hogares interior;2018;12.303.956
Extremadura;Total gasto en consumo final de los hogares interior;2019;12.422.312
Extremadura;Total gasto en consumo final de los hogares interior;2020;10.940.025
Extremadura;Total gasto en consumo final de los hogares interior;2021;12.203.851
Extremadura;Total gasto en consumo final de los hogares interior;2022 (P);13.771.223
Extremadura;P.3. Gasto en consumo final de los hogares;2016;11.234.008
Extremadura;P.3. Gasto en consumo final de los hogares;2017;11.662.134
Extremadura;P.3. Gasto en consumo final de los hogares;2018;11.883.715
Extremadura;P.3. Gasto en consumo final de los hogares;2019;11.962.592
Extremadura;P.3. Gasto en consumo final de los hogares;2020;10.582.501
Extremadura;P.3. Gasto en consumo final de los hogares;2021;11.882.658
Extremadura;P.3. Gasto en consumo final de los hogares;2022 (P);13.157.116
Extremadura;P.4. Consumo final efectivo de los hogares;2016;14.827.318
Extremadura;P.4. Consumo final efectivo de los hogares;2017;15.268.528
Extremadura;P.4. Consumo final efectivo de los hogares;2018;15.550.036
